Asset ID	URI
786343	3989
786344	3969
786346	3977
786342	3988
786345	3969
786341	3988
786340	3987
786337	3986
786339	3987
786336	3985
786338	3986
786335	3985
786334	3984
786332	3983
786333	3984
786329	3982
786331	3983
786330	3982
786328	3966
786302	3981
786303	3981
786299	3965
786301	3961
786300	3968
786297	3975
786298	3965
786295	3964
786294	3964
786292	3971
786293	3964
786296	3975
786291	3971
786289	3973
786286	3978
786290	3973
786287	3978
786288	3974
