Asset ID	Accession No.	Archives Collection ID	Artist Creator	Bit Depth	CR No.	Caption	Caption - OLD	Cataloged	Cataloged By	Classification	Color Mode	Color Profile	Copyright	Correspondence Recipient	Created	Creation Date	Creator Application	Description Writer	Directory Path	EXIF - Aperture	EXIF - Camera Make	EXIF - Camera Model	EXIF - Date Digitized	EXIF - Date Taken	EXIF - Exposure Bias	EXIF - Exposure Time	EXIF - F-Number	EXIF - Flash	EXIF - Focal Length	EXIF - GPS Altitude	EXIF - GPS Latitude	EXIF - GPS Longitude	EXIF - ISO Speed	EXIF - Light Source	EXIF - Metering Mode	EXIF - Shutter Speed	EXIF - White Balance	Extension Win	Description	File Size	Filename	Flags	GOKM Collection	Height	Horizontal Resolution	IPTC - Category	IPTC - City	IPTC - Copyright Info URL	IPTC - Copyright Notice	IPTC - Country	IPTC - Country Code	IPTC - Creator	IPTC - Creator Address	IPTC - Creator City	IPTC - Creator Country	IPTC - Creator Email	IPTC - Creator Job Title	IPTC - Creator Phone	IPTC - Creator Postal Code	IPTC - Creator State/Province	IPTC - Creator Web URL	IPTC - Credit	IPTC - Date Created	IPTC - Event	IPTC - Headline	IPTC - Instructions	IPTC - Intellectual Genre	IPTC - Location	IPTC - Rights Usage Terms	IPTC - Scene	IPTC - Source	IPTC - State/Province	IPTC - Subject Code	IPTC - Supplemental Categories	IPTC - Title	IPTC - Transmission Reference	IPTC - Urgency	Keywords	Last Modified	Last Updated	Linked Object ID	MS - Author	MS - Company	MS - Last Saved By	MS - Manager	MS - Subject	MS - Template	MS - Title	Media	Movie - Audio Codec	Movie - Channels	Movie - Color Depth	Movie - Duration	Movie - FPS	Movie - Sample Rate	Movie - Sample Size	Movie - Video Codec	MultipageCount	Owning Institution	Path	Photoshop Label	Photoshop Rating	Physical Description	Reference URL (Content DM)	Related Library Item (LOD URL)	Restrictions	Rights Holder	Rights Notes	Rights Status	Rights URI	Sequence	Source System	Source System ID	Text Transcript	Title	Updated By	Vertical Resolution	View	Volume	Website	Width
786409								2019-12-19T19:55:45.000Z	AutoSync		3				2019-12-19T18:42:57.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		732496234	ASAO_3971_1_b.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-24T19:08:48.000Z	2019-12-19T19:55:45.000Z										PCM signed 24-bit little-endian	2	24	00:21:05.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3971_1_b.wav																AutoSync	72.0		root		0	
786410								2019-12-19T19:56:09.000Z	AutoSync		3				2019-12-19T18:44:51.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		416915682	ASAO_3964_1_a.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-24T19:25:42.000Z	2019-12-19T19:56:09.000Z										PCM signed 24-bit little-endian	2	24	00:12:00.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3964_1_a.wav																AutoSync	72.0		root		0	
786408								2019-12-19T19:55:34.000Z	AutoSync		3				2019-12-19T18:39:47.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		1231634634	ASAO_3971_1_a.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-24T19:08:12.000Z	2019-12-19T19:55:34.000Z										PCM signed 24-bit little-endian	2	24	00:35:27.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3971_1_a.wav																AutoSync	72.0		root		0	
786407								2019-12-19T19:55:10.000Z	AutoSync		3				2019-12-19T18:37:10.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		1010741946	ASAO_3973_1_b.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-22T23:20:02.000Z	2019-12-19T19:55:10.000Z										PCM signed 24-bit little-endian	2	24	00:29:14.02		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3973_1_b.wav																AutoSync	72.0		root		0	
786406								2019-12-19T19:54:54.000Z	AutoSync		3				2019-12-19T19:21:46.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		1172090700	ASAO_3973_1_a.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-22T22:43:02.000Z	2019-12-19T19:54:54.000Z										PCM signed 24-bit little-endian	2	24	00:33:54.02		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3973_1_a.wav																AutoSync	72.0		root		0	
786404								2019-12-19T19:54:07.000Z	AutoSync		3				2019-12-19T19:16:37.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		881895858	ASAO_3978_1_b.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-21T21:58:00.000Z	2019-12-19T19:54:07.000Z										PCM signed 24-bit little-endian	2	24	00:25:31.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3978_1_b.wav																AutoSync	72.0		root		0	
786405								2019-12-19T19:54:32.000Z	AutoSync		3				2019-12-19T19:18:55.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		1117285548	ASAO_3974.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-11-21T23:45:36.000Z	2019-12-19T19:54:32.000Z										PCM signed 24-bit little-endian	2	24	00:32:19.02		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3974.wav																AutoSync	72.0		root		0	
786402								2019-12-19T19:53:25.000Z	AutoSync		3				2019-12-19T18:12:48.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		1542003762	ASAO_3977.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-12-02T22:34:18.000Z	2019-12-19T19:53:25.000Z										PCM signed 24-bit little-endian	2	24	00:44:23.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3977.wav																AutoSync	72.0		root		0	
786401								2019-12-19T19:53:13.000Z	AutoSync		3				2019-12-19T18:11:45.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		402439514	ASAO_3969_1_b.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-12-02T20:58:46.000Z	2019-12-19T19:53:13.000Z										PCM signed 24-bit little-endian	2	24	00:11:35.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3969_1_b.wav																AutoSync	72.0		root		0	
786400								2019-12-19T19:53:00.000Z	AutoSync		3				2019-12-19T18:10:32.000Z				::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:																			wav		468450858	ASAO_3969_1_a.wav			0	72.0																																	Archives|audio_master|Collections|MS-44_AV	2019-12-02T20:44:18.000Z	2019-12-19T19:53:00.000Z										PCM signed 24-bit little-endian	2	24	00:13:29.00		96000.0			1		::sourcemedia:root:Collections:Archives:MS-44_AV:audio_master:ASAO_3969_1_a.wav																AutoSync	72.0		root		0	
